"","inPathway","outPathway"
"SHC-mediated cascade:FGFR2",32,393056
"Defective ACY1 causes encephalopathy",3,393085
"DNA methylation",38,393050
"Protein methylation",19,393069
"E3 ubiquitin ligases ubiquitinate target proteins",57,393031
"AKT phosphorylates targets in the nucleus",12,393076
"Cross-presentation of soluble exogenous antigens (endosomes)",53,393035
"CaMK IV-mediated phosphorylation of CREB",7,393081
"Intestinal hexose absorption",8,393080
"TNFR1-induced proapoptotic signaling",14,393074
"Signaling by FGFR1",61,393027
"Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus",9,393079
"Myoclonic epilepsy of Lafora",12,393076
"Defective HLCS causes multiple carboxylase deficiency",9,393079
"Platelet degranulation ",137,392951
"Diseases associated with glycosylation precursor biosynthesis",24,393064
"Activation of anterior HOX genes in hindbrain development during early embryogenesis",92,392996
"Essential fructosuria",2,393086
"Beta defensins",39,393049
"Retinoid metabolism disease events",2,393086
"VLDL clearance",10,393078
"RHO GTPases regulate CFTR trafficking",4,393084
"LGI-ADAM interactions",14,393074
"Caspase activation via extrinsic apoptotic signalling pathway",34,393054
"Presynaptic nicotinic acetylcholine receptors",15,393073
"Crosslinking of collagen fibrils",24,393064
"Recruitment of mitotic centrosome proteins and complexes",80,393008
"Sema3A PAK dependent Axon repulsion",19,393069
"SMAC-mediated dissociation of IAP:caspase complexes ",5,393083
"TWIK related potassium channel (TREK)",4,393084
"Insulin receptor signalling cascade",324,392764
"HSF1 activation",12,393076
"HATs acetylate histones",110,392978
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",75,393013
"Amyloid fiber formation",78,393010
"C6 deamination of adenosine",4,393084
"Role of Abl in Robo-Slit signaling",12,393076
"Defective MAOA causes Brunner syndrome (BRUNS)",3,393085
"SLBP independent Processing of Histone Pre-mRNAs",10,393078
"Pre-NOTCH Expression and Processing",53,393035
"Nuclear Pore Complex (NPC) Disassembly",40,393048
"FGFR2 ligand binding and activation",26,393062
"SCF-beta-TrCP mediated degradation of Emi1",55,393033
"TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)",18,393070
"SHC-mediated cascade:FGFR3",25,393063
"Mitotic Prometaphase",207,392881
"Interleukin-35 Signalling",7,393081
"PI3K/AKT activation",285,392803
"GABA A (rho) receptor activation",5,393083
"Tolerance of reactive oxygen produced by macrophages",19,393069
"Post-transcriptional silencing by small RNAs",8,393080
"Regulation of PAK-2p34 activity by PS-GAP/RHG10",2,393086
"Transcription-Coupled Nucleotide Excision Repair (TC-NER)",85,393003
"Protein ubiquitination",80,393008
"Retrograde neurotrophin signalling",18,393070
" NS1 Mediated Effects on Host Pathways",44,393044
"Defective B3GAT3 causes JDSSDHD",20,393068
"Formation of TC-NER Pre-Incision Complex",56,393032
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",112,392976
"TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest",14,393074
"HDR through Homologous Recombination (HRR)",72,393016
"Interaction With Cumulus Cells",2,393086
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A",55,393033
"MyD88 cascade initiated on plasma membrane",95,392993
"Costimulation by the CD28 family",88,393000
"Galactose catabolism",16,393072
"Dual incision in TC-NER",68,393020
"Adenylate cyclase inhibitory pathway",18,393070
"Serine biosynthesis",21,393067
"RET signaling",292,392796
"G alpha (12/13) signalling events",92,392996
"Negative regulation of activity of TFAP2 (AP-2) family transcription factors",11,393077
"Loss of Function of SMAD4 in Cancer",3,393085
"Signaling by FGFR3 fusions in cancer",16,393072
"Transcription from mitochondrial promoters",4,393084
"Regulation of TP53 Activity",172,392916
"Sodium-coupled sulphate, di- and tri-carboxylate transporters",9,393079
"Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)",2,393086
"Mitotic Metaphase/Anaphase Transition",2,393086
"Signaling by NOTCH4",12,393076
"2-LTR circle formation",13,393075
"Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS)",3,393085
"Potassium transport channels",4,393084
"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",21,393067
"Erythrocytes take up oxygen and release carbon dioxide",16,393072
"p53-Independent DNA Damage Response",55,393033
"Respiratory electron transport",115,392973
"PKA activation in glucagon signalling",22,393066
"SUMOylation of transcription factors",20,393068
"MET activates PI3K/AKT signaling",10,393078
"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)",4,393084
"Regulated proteolysis of p75NTR",11,393077
"Interleukin-1 processing",7,393081
"EPHA-mediated growth cone collapse",39,393049
"Cell Cycle, Mitotic",543,392545
"PTEN Regulation",150,392938
"RUNX1 regulates transcription of genes involved in BCR signaling",6,393082
"Regulation of IFNG signaling",16,393072
"Molecules associated with elastic fibres",38,393050
"Removal of the Flap Intermediate",18,393070
"COPII (Coat Protein 2) Mediated Vesicle Transport",76,393012
"RUNX3 regulates CDKN1A transcription",7,393081
"FGFR1c ligand binding and activation",15,393073
"Organelle biogenesis and maintenance",317,392771
"HS-GAG biosynthesis",40,393048
"SMAC binds to IAPs ",5,393083
"Keratan sulfate/keratin metabolism",52,393036
"Glycoprotein hormones",10,393078
"Deposition of new CENPA-containing nucleosomes at the centromere",55,393033
"Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)",2,393086
"CDT1 association with the CDC6:ORC:origin complex",59,393029
"Defective DPM1 causes DPM1-CDG (CDG-1e)",2,393086
"Metabolism of cofactors",35,393053
"The phototransduction cascade",58,393030
"Phosphorylation of the APC/C",19,393069
"Activation of PPARGC1A (PGC-1alpha) by phosphorylation",13,393075
"AKT-mediated inactivation of FOXO1A",6,393082
"Association of TriC/CCT with target proteins during biosynthesis",40,393048
"Disease",1297,391791
"Defective ABCD4 causes methylmalonic aciduria and homocystinuria, cblj type (MAHCJ)",3,393085
"Nef Mediated CD8 Down-regulation",8,393080
"Early Phase of HIV Life Cycle",24,393064
"IPs transport between nucleus and ER lumen",1,393087
"Glucose metabolism",139,392949
"Neurophilin interactions with VEGF and VEGFR",4,393084
"Wax biosynthesis",17,393071
"Signaling by EGFR in Cancer",38,393050
"Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)",3,393085
"TRAF3-dependent IRF activation pathway",17,393071
"Recycling of eIF2:GDP",10,393078
"Ficolins bind to repetitive carbohydrate structures on the target cell surface",12,393076
"TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling",19,393069
"Regulation of RUNX1 Expression and Activity",21,393067
"Synthesis of PIPs at the early endosome membrane",31,393057
"Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)",19,393069
"Neurotransmitter uptake and metabolism In glial cells",10,393078
"Muscle contraction",215,392873
"The IPAF inflammasome",5,393083
"eNOS activation and regulation",58,393030
"The citric acid (TCA) cycle and respiratory electron transport",220,392868
"Defective LFNG causes SCDO3",5,393083
"mRNA Editing",12,393076
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A",72,393016
"Toll Like Receptor 2 (TLR2) Cascade",114,392974
"PI3K events in ERBB4 signaling",15,393073
"Regulation of activated PAK-2p34 by proteasome mediated degradation",50,393038
"PCNA-Dependent Long Patch Base Excision Repair",23,393065
"Signaling by high-kinase activity BRAF mutants",46,393042
"Acrosome Reaction",1,393087
"Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)",3,393085
"Transport of Mature mRNA derived from an Intron-Containing Transcript",80,393008
"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)",23,393065
"Creatine metabolism",25,393063
"Toll-Like Receptors Cascades",186,392902
"phospho-PLA2 pathway",9,393079
"Signaling by Ligand-Responsive EGFR Variants in Cancer",38,393050
"Collagen formation",104,392984
"Degradation of GABA",11,393077
"activated TAK1 mediates p38 MAPK activation",27,393061
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",73,393015
"Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)",2,393086
"MPS IIID - Sanfilippo syndrome D",2,393086
"PRC2 methylates histones and DNA",46,393042
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",42,393046
"N-Glycan antennae elongation",19,393069
"Activation, translocation and oligomerization of BAX",2,393086
"Inhibition of Signaling by Overexpressed EGFR",6,393082
"Trafficking of AMPA receptors",37,393051
"Fructose metabolism",27,393061
"Assembly of the ORC complex at the origin of replication",6,393082
"Depolymerisation of the Nuclear Lamina",23,393065
"Tat-mediated HIV elongation arrest and recovery",39,393049
"HSP90 chaperone cycle for steroid hormone receptors (SHR)",67,393021
"Nephrin family interactions",25,393063
"WNT5A-dependent internalization of FZD4",20,393068
"Scavenging by Class A Receptors",50,393038
"IP3 and IP4 transport between cytosol and nucleus",3,393085
"Recognition of DNA damage by PCNA-containing replication complex",30,393058
"NCAM1 interactions",44,393044
"AUF1 (hnRNP D0) binds and destabilizes mRNA",56,393032
"EPH-ephrin mediated repulsion of cells",54,393034
"Signaling by NODAL",23,393065
"Lipid particle organization",9,393079
"Synthesis of dolichyl-phosphate mannose",7,393081
"FCGR activation",103,392985
"MicroRNA (miRNA) biogenesis",29,393059
"Activation, myristolyation of BID and translocation to mitochondria",4,393084
"Nucleosome assembly",55,393033
"Carnitine synthesis",30,393058
"Prefoldin mediated transfer of substrate  to CCT/TriC",28,393060
"Proline catabolism",14,393074
"G beta:gamma signalling through PI3Kgamma",52,393036
"Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1)",1,393087
"Tat-mediated elongation of the HIV-1 transcript",52,393036
"The fatty acid cycling model",8,393080
"Nucleotide Excision Repair1",125,392963
"Synthesis of PIPs at the late endosome membrane",22,393066
"Signaling by Retinoic Acid",71,393017
"G2/M Checkpoints",154,392934
"Negative epigenetic regulation of rRNA expression",91,392997
"Cell redox homeostasis",19,393069
"Platelet homeostasis",117,392971
"Enzymatic degradation of Dopamine by monoamine oxidase",10,393078
"PTEN Loss of Function in Cancer",2,393086
"Tight junction interactions",30,393058
"Apoptosis1",319,392769
"SMAD4 MH2 Domain Mutants in Cancer",3,393085
"Regulation of KIT signaling",18,393070
"Activation of BH3-only proteins",34,393054
"Plasma lipoprotein assembly, remodeling, and clearance",93,392995
"Nucleotide-like (purinergic) receptors",23,393065
"ADP signalling through P2Y purinoceptor 1",29,393059
"Regulation of innate immune responses to cytosolic DNA",22,393066
"Eicosanoid ligand-binding receptors",25,393063
"Signaling by NOTCH1 PEST Domain Mutants in Cancer",61,393027
"Glutathione conjugation",67,393021
"t(4;14) translocations of FGFR3",3,393085
"Inactivation of Cdc42 and Rac",14,393074
"Defective DPM3 causes DPM3-CDG (CDG-1o)",2,393086
"RUNX3 Regulates Immune Response and Cell Migration",6,393082
"Assembly of active LPL and LIPC lipase complexes",25,393063
"Phospholipase C-mediated cascade; FGFR2",25,393063
"Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)",4,393084
"Keratinization",223,392865
"Transport of vitamins, nucleosides, and related molecules",99,392989
"Signaling by TGF-beta Receptor Complex in Cancer",10,393078
"Toll Like Receptor 10 (TLR10) Cascade",95,392993
"Digestion of dietary carbohydrate",29,393059
"Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)",2,393086
"Signaling by FGFR",104,392984
"FRS-mediated FGFR3 signaling",26,393062
"SHC-mediated cascade:FGFR1",29,393059
"PIWI-interacting RNA (piRNA) biogenesis",33,393055
"Glycogen synthesis",26,393062
"Constitutive Signaling by Aberrant PI3K in Cancer",89,392999
"Condensation of Prophase Chromosomes",55,393033
"Triglyceride biosynthesis",33,393055
"GLI proteins bind promoters of Hh responsive genes to promote transcription",3,393085
"p53-Dependent G1/S DNA damage checkpoint",68,393020
"Interferon gamma signaling",155,392933
"Metalloprotease DUBs",32,393056
"Digestion and absorption",74,393014
"Signal amplification",37,393051
"Relaxin receptors",8,393080
"Eukaryotic Translation Initiation",126,392962
"Synthesis of bile acids and bile salts",109,392979
"Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)",2,393086
"Peptide ligand-binding receptors",194,392894
"Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors",38,393050
"Regulation of TP53 Activity through Phosphorylation",94,392994
"Packaging of Eight RNA Segments",9,393079
"Unblocking of NMDA receptor, glutamate binding and activation",22,393066
"Reversal of alkylation damage by DNA dioxygenases",16,393072
"NEP/NS2 Interacts with the Cellular Export Machinery",43,393045
"Response of Mtb to phagocytosis",72,393016
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",58,393030
"Synthesis of 15-eicosatetraenoic acid derivatives",22,393066
"Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)",1,393087
"Phase 4 - resting membrane potential",20,393068
"Listeria monocytogenes entry into host cells",26,393062
"HuR (ELAVL1) binds and stabilizes mRNA",10,393078
"GPCR ligand binding",590,392498
"Interleukin-9 signaling",3,393085
"Enzymatic degradation of dopamine by COMT",14,393074
"Regulation of PTEN gene transcription",68,393020
"IPs transport between ER lumen and cytosol",2,393086
"Regulation of TNFR1 signaling",39,393049
"MPS IV - Morquio syndrome A",2,393086
"Advanced glycosylation endproduct receptor signaling",16,393072
"MAPK1/MAPK3 signaling",274,392814
"Signaling by FGFR1 in disease",57,393031
"Beta oxidation of hexanoyl-CoA to butanoyl-CoA",18,393070
"Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)",2,393086
"Mitotic Telophase/Cytokinesis",14,393074
"Downstream signaling of activated FGFR1",41,393047
"Signaling by Overexpressed Wild-Type EGFR in Cancer",6,393082
"Post-translational protein phosphorylation",109,392979
"Amine ligand-binding receptors",51,393037
"Hh mutants abrogate ligand secretion",63,393025
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",50,393038
"Interactions of Vpr with host cellular proteins",45,393043
"AKT phosphorylates targets in the cytosol",16,393072
"Cleavage of the damaged pyrimidine ",17,393071
"MAPK family signaling cascades",313,392775
"CD209 (DC-SIGN) signaling",29,393059
"Non-integrin membrane-ECM interactions",61,393027
"Gene expression (Transcription)",1442,391646
"Metabolism of ingested MeSeO2H into MeSeH",9,393079
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",127,392961
"Synthesis of wybutosine at G37 of tRNA(Phe)",30,393058
"Calnexin/calreticulin cycle",41,393047
"Interactions of Rev with host cellular proteins",43,393045
"Lysosomal glycogen catabolism",6,393082
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",91,392997
"InlB-mediated entry of Listeria monocytogenes into host cell",18,393070
"O2/CO2 exchange in erythrocytes",26,393062
"ATF6 (ATF6-alpha) activates chaperones",12,393076
"Interconversion of polyamines",16,393072
"Ligand-independent caspase activation via DCC",12,393076
"ARMS-mediated activation",272,392816
"Signaling by Insulin receptor",349,392739
"RHO GTPases activate PAKs",27,393061
"Constitutive Signaling by NOTCH1 PEST Domain Mutants",61,393027
"Generic Transcription Pathway",1140,391948
"Notch-HLH transcription pathway",13,393075
"YAP1- and WWTR1 (TAZ)-stimulated gene expression",34,393054
"Unfolded Protein Response (UPR)",99,392989
"Defects in biotin (Btn) metabolism",10,393078
"GTP hydrolysis and joining of the 60S ribosomal subunit",117,392971
"Signal transduction by L1",25,393063
"Chromosome Maintenance",105,392983
"HIV Transcription Initiation",51,393037
"Removal of the Flap Intermediate from the C-strand",15,393073
"Ion transport by P-type ATPases",71,393017
"Severe congenital neutropenia type 4 (G6PC3)",2,393086
"NOSTRIN mediated eNOS trafficking",10,393078
"Defective ALG9 causes ALG9-CDG (CDG-1l)",3,393085
"Incretin synthesis, secretion, and inactivation",45,393043
"Tachykinin receptors bind tachykinins",5,393083
"CHL1 interactions",10,393078
"Latent infection of Homo sapiens with Mycobacterium tuberculosis",72,393016
"FCERI mediated MAPK activation",377,392711
"Thromboxane signalling through TP receptor",26,393062
"Activation of BIM and translocation to mitochondria ",3,393085
"FCERI mediated Ca+2 mobilization",129,392959
"Negative regulators of DDX58/IFIH1 signaling",37,393051
"TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P",2,393086
"DNA Damage Reversal",18,393070
"Methylation of MeSeH for excretion",6,393082
"Amino acid synthesis and interconversion (transamination)",80,393008
"Interleukin-4 and 13 signaling",113,392975
"ERK/MAPK targets",26,393062
"Toxicity of botulinum toxin type C (BoNT/C)",7,393081
"Cell Cycle Checkpoints",277,392811
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",94,392994
"CREB phosphorylation",9,393079
"Cell junction organization",94,392994
"Intrinsic Pathway of Fibrin Clot Formation",25,393063
"Glutathione synthesis and recycling",26,393062
"Lagging Strand Synthesis",26,393062
"S37 mutants of beta-catenin aren't phosphorylated",16,393072
"Cyclin D associated events in G1",48,393040
"Response to metal ions",19,393069
"Nuclear Envelope Reassembly",16,393072
"Metabolism of lipids",1252,391836
"RPIA deficiency: failed conversion of RU5P to R5P",1,393087
"CTLA4 inhibitory signaling",26,393062
"MPS IX - Natowicz syndrome",6,393082
"Josephin domain DUBs",13,393075
"Calcitonin-like ligand receptors",10,393078
"Aflatoxin activation and detoxification",50,393038
"ARL13B-mediated ciliary trafficking of INPP5E",3,393085
"Xenobiotics",74,393014
"Sodium/Calcium exchangers",15,393073
"cRNA Synthesis",8,393080
"Transport of Mature mRNA Derived from an Intronless Transcript",44,393044
"Collagen chain trimerization",44,393044
"Synthesis, secretion, and deacylation of Ghrelin",25,393063
"Interferon Signaling",271,392817
"Metabolism of folate and pterines",44,393044
"p130Cas linkage to MAPK signaling for integrins",22,393066
"CREB3 factors activate genes",9,393079
"Dissolution of Fibrin Clot",14,393074
"AXIN missense mutants destabilize the destruction complex",14,393074
"Bicarbonate transporters",14,393074
"Ion influx/efflux at host-pathogen interface",13,393075
"Interleukin-15 signaling",6,393082
"Dopamine clearance from the synaptic cleft",17,393071
"Defective CUBN causes hereditary megaloblastic anemia 1",4,393084
"Platelet Adhesion to exposed collagen",16,393072
"Insulin processing",31,393057
"Entry of Influenza Virion into Host Cell via Endocytosis",12,393076
"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis",55,393033
"Prostacyclin signalling through prostacyclin receptor",22,393066
"Sperm:Oocyte Membrane Binding",5,393083
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",27,393061
"Diseases associated with O-glycosylation of proteins",67,393021
"tRNA processing in the nucleus",70,393018
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",98,392990
"TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation",6,393082
"Regulation of actin dynamics for phagocytic cup formation",158,392930
"Autodegradation of the E3 ubiquitin ligase COP1",54,393034
"G alpha (i) signalling events",328,392760
"Defective CYP1B1 causes Glaucoma",4,393084
"STING mediated induction of host immune responses",25,393063
"Defective GNE causes sialuria, Nonaka myopathy and inclusion body myopathy 2",4,393084
"PIPs transport between early and late endosome membranes",1,393087
"Release",10,393078
"Amplification of signal from the kinetochores",94,392994
"Recruitment of NuMA to mitotic centrosomes",95,392993
"Signaling by Activin",15,393073
"Adenylate cyclase activating pathway",17,393071
"Regulation of TP53 Activity through Acetylation",39,393049
"Neurodegenerative Diseases",27,393061
"RNA Polymerase I Promoter Clearance",83,393005
"Signaling by FGFR2 fusions",3,393085
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",21,393067
"Cristae formation",31,393057
"Toll Like Receptor 9 (TLR9) Cascade",111,392977
"Deadenylation of mRNA",29,393059
"Signaling by FGFR3 in disease",40,393048
"Phospholipid metabolism",315,392773
"G2 Phase",7,393081
"Nef and signal transduction",9,393079
"Regulation of RAS by GAPs",70,393018
"Serotonin and melatonin biosynthesis",20,393068
"Butyrophilin (BTN) family interactions",12,393076
"Defective B3GALT6 causes EDSP2 and SEMDJL1",20,393068
"Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1)",2,393086
"Caspase-mediated cleavage of cytoskeletal proteins",12,393076
"IKBKB deficiency causes SCID",2,393086
"Removal of aminoterminal propeptides from gamma-carboxylated proteins",10,393078
"Regulation of signaling by CBL",24,393064
"Peptide chain elongation",114,392974
"AMPK inhibits chREBP transcriptional activation activity",11,393077
"Metabolism of nucleotides",256,392832
"GABA receptor activation",62,393026
"Leukotriene receptors",9,393079
"Type II Na+/Pi cotransporters",6,393082
"Basigin interactions",26,393062
"Organic anion transport",13,393075
"Netrin mediated repulsion signals",12,393076
"Defective SLC2A10 causes arterial tortuosity syndrome (ATS)",1,393087
"Factors involved in megakaryocyte development and platelet production",179,392909
"Dimerization of procaspase-8",11,393077
"Clathrin derived vesicle budding",80,393008
"TICAM1 deficiency - HSE",3,393085
"Antigen processing-Cross presentation",175,392913
"M/G1 Transition",88,393000
"GRB2 events in EGFR signaling",267,392821
"Interleukin-10 signaling",49,393039
"MPS II - Hunter syndrome",3,393085
"Cardiac conduction",150,392938
"Conjugation of salicylate with glycine",16,393072
"Mineralocorticoid biosynthesis",20,393068
"MET Receptor Activation",9,393079
"Reverse Transcription of HIV RNA",9,393079
"Ubiquitin-dependent degradation of Cyclin D",53,393035
"Downregulation of ERBB4 signaling",10,393078
"Cytochrome P450 - arranged by substrate type",186,392902
"Activation of RAS in B cells",10,393078
"Inositol transporters",7,393081
"TRIF-mediated TLR3/TLR4 signaling ",111,392977
"Defective SLC6A2 causes orthostatic intolerance (OI)",2,393086
"Cargo trafficking to the periciliary membrane",55,393033
"PD-1 signaling",35,393053
"Arachidonate production from DAG",13,393075
"SUMOylation of chromatin organization proteins",60,393028
"PI5P Regulates TP53 Acetylation",17,393071
"DNA Double Strand Break Response",74,393014
"Translocation of GLUT4 to the plasma membrane",87,393001
"Assembly Of The HIV Virion",26,393062
"Negative regulation of MET activity",25,393063
"Carboxyterminal post-translational modifications of tubulin",51,393037
"Physiological factors",12,393076
"mRNA Splicing - Minor Pathway",52,393036
"Mitotic Anaphase",209,392879
"Formation of HIV elongation complex in the absence of HIV Tat",48,393040
"RAB GEFs exchange GTP for GDP on RABs",93,392995
"The activation of arylsulfatases",17,393071
"RNA Polymerase II Promoter Escape",51,393037
"Presynaptic phase of homologous DNA pairing and strand exchange",41,393047
"Diseases of signal transduction",448,392640
"Chemokine receptors bind chemokines",48,393040
"Synthesis of Ketone Bodies",22,393066
"Threonine catabolism",13,393075
"Defective ABCB11 causes progressive familial intrahepatic cholestasis 2 and benign recurrent intrahepatic cholestasis 2",6,393082
"Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria",1,393087
"Metabolism of RNA",760,392328
"MET receptor recycling",11,393077
"Inhibition of Interferon Synthesis",1,393087
"Fatty acids",29,393059
"NoRC negatively regulates rRNA expression",85,393003
"Integration of provirus",15,393073
"Activation of AKT2",7,393081
"Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4)",8,393080
"Assembly of collagen fibrils and other multimeric structures",67,393021
"Degradation of GLI2 by the proteasome",62,393026
"Activated NOTCH1 Transmits Signal to the Nucleus",31,393057
"Major pathway of rRNA processing in the nucleolus and cytosol",183,392905
"Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1)",2,393086
"RNA Polymerase I Transcription Termination",31,393057
"Acyl chain remodeling of CL",18,393070
"Transport and synthesis of PAPS",13,393075
"Regulation of Complement cascade",139,392949
"Mitochondrial protein import",67,393021
"Ligand-receptor interactions",8,393080
"DSCAM interactions",15,393073
"Integration of energy metabolism",142,392946
"Scavenging by Class B Receptors",21,393067
"G1/S DNA Damage Checkpoints",70,393018
"Signaling by FGFR2 in disease",62,393026
"Intestinal infectious diseases",3,393085
"Hyaluronan uptake and degradation",18,393070
"Dual Incision in GG-NER",41,393047
"IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR)",9,393079
"The NLRP1 inflammasome",5,393083
"Defective ALG1 causes ALG1-CDG (CDG-1k)",2,393086
"Dermatan sulfate biosynthesis",13,393075
"Axonal growth inhibition (RHOA activation)",12,393076
"Regulation of PTEN mRNA translation",9,393079
"Signaling by NOTCH1 in Cancer",61,393027
"Centrosome maturation",82,393006
"Synthesis And Processing Of GAG, GAGPOL Polyproteins",17,393071
"Activation of E2F1 target genes at G1/S",27,393061
"Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes",5,393083
"Transcriptional regulation of pluripotent stem cells",36,393052
"Acyl chain remodelling of PS",31,393057
"Catabolism of glucuronate to xylulose-5-phosphate",21,393067
"Norepinephrine Neurotransmitter Release Cycle",30,393058
"Zinc influx into cells by the SLC39 gene family",11,393077
"Association of licensing factors with the pre-replicative complex",15,393073
"IkBA variant leads to EDA-ID",8,393080
"Defective TCN2 causes hereditary megaloblastic anemia",2,393086
"Regulation of gene expression in early pancreatic precursor cells",8,393080
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",14,393074
"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids",21,393067
"NFG and proNGF binds to p75NTR",3,393085
"Negative regulation of FGFR3 signaling",34,393054
"G alpha (s) signalling events",168,392920
"Defective pro-SFTPB causes pulmonary surfactant metabolism dysfunction 1 (SMDP1) and respiratory distress syndrome (RDS)",3,393085
"Signaling by FGFR4 in disease",18,393070
"Signaling by FGFR in disease",91,392997
"Metallothioneins bind metals",16,393072
"Neurexins and neuroligins",57,393031
"Cyclin A/B1/B2 associated events during G2/M transition",32,393056
"Negative feedback regulation of MAPK pathway",8,393080
"Interaction between L1 and Ankyrins",33,393055
"NR1D1 (REV-ERBA) represses gene expression",4,393084
"Senescence-Associated Secretory Phenotype (SASP)",83,393005
"Defective SLC6A5 causes hyperekplexia 3 (HKPX3)",3,393085
"Cap-dependent Translation Initiation",126,392962
"Gap junction assembly",39,393049
"TGFBR1 KD Mutants in Cancer",9,393079
"Diseases associated with visual transduction",24,393064
"SIRT1 negatively regulates rRNA Expression",43,393045
"Pre-NOTCH Transcription and Translation",29,393059
"EGFR downregulation",31,393057
"Hyaluronan metabolism",23,393065
"Vesicle-mediated transport",826,392262
"Activation of BMF and translocation to mitochondria",3,393085
"Platelet Aggregation (Plug Formation)",52,393036
"IGF1R signaling cascade",326,392762
"PTK6 Regulates Cell Cycle",8,393080
"Activation of HOX genes during differentiation",92,392996
"HS-GAG degradation",44,393044
"Mitochondrial translation initiation",96,392992
"Serotonin receptors",13,393075
"PKMTs methylate histone lysines",49,393039
"Abacavir transport and metabolism",34,393054
"PI-3K cascade:FGFR3",24,393064
"Free fatty acids regulate insulin secretion",19,393069
"DNA Replication Pre-Initiation",88,393000
"RNA Polymerase III Transcription",46,393042
"Fusion and Uncoating of the Influenza Virion",10,393078
"Innate Immune System",1606,391482
"Chylomicron remodeling",17,393071
"CYP2E1 reactions",30,393058
"Ubiquinol biosynthesis",32,393056
"Choline catabolism",21,393067
"Cleavage of Growing Transcript in the Termination Region ",67,393021
"Defective ALG6 causes ALG6-CDG (CDG-1c)",2,393086
"Intracellular oxygen transport",5,393083
"Depyrimidination",17,393071
"FGFR3 mutant receptor activation",26,393062
"MAPK1 (ERK2) activation",12,393076
"RIP-mediated NFkB activation via ZBP1",30,393058
"Defective SLC26A2 causes chondrodysplasias",2,393086
"Activated point mutants of FGFR2",28,393060
"IKK complex recruitment mediated by RIP1",26,393062
"Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)",30,393058
"Defective SLC7A9 causes cystinuria (CSNU)",4,393084
"C-type lectin receptors (CLRs)",196,392892
"mRNA decay by 3' to 5' exoribonuclease",26,393062
"Regulation of Commissural axon pathfinding by Slit and Robo",4,393084
"Pausing and recovery of HIV elongation",40,393048
"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)",9,393079
"Homology Directed Repair",130,392958
