"","inPathway","outPathway"
"Post-transcriptional silencing by small RNAs",8,90486
"Toll Like Receptor 3 (TLR3) Cascade",111,90383
"Collagen degradation",69,90425
"EGFR downregulation",31,90463
"Listeria monocytogenes entry into host cells",26,90468
"TRAF6 mediated induction of TAK1 complex",21,90473
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",146,90348
"HSP90 chaperone cycle for steroid hormone receptors (SHR)",67,90427
"HSF1 activation",12,90482
"Anchoring fibril formation",15,90479
"MAPK1 (ERK2) activation",12,90482
"Defective MOGS causes MOGS-CDG (CDG-2b)",1,90493
"PKB-mediated events",51,90443
"TRAIL  signaling",7,90487
"Formyl peptide receptors bind formyl peptides and many other ligands",11,90483
"Endogenous sterols",71,90423
"Pausing and recovery of HIV elongation",40,90454
"Interleukin-3, 5 and GM-CSF signaling",293,90201
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",73,90421
"Fanconi Anemia Pathway",42,90452
"Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)",1,90493
"Effects of PIP2 hydrolysis",40,90454
"Activation, myristolyation of BID and translocation to mitochondria",4,90490
"Vitamins B6 activation to pyridoxal phosphate",21,90473
"Defective CHSY1 causes TPBS",9,90485
"PRC2 methylates histones and DNA",46,90448
"Import of palmitoyl-CoA into the mitochondrial matrix",28,90466
"Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)",6,90488
"The citric acid (TCA) cycle and respiratory electron transport",220,90274
"Defective CYP19A1 causes Aromatase excess syndrome (AEXS)",4,90490
"Transcription of the HIV genome",80,90414
"Activation of BH3-only proteins",34,90460
"Stabilization of p53",59,90435
"Defective GIF causes intrinsic factor deficiency",2,90492
"Meiotic recombination",60,90434
"Clathrin derived vesicle budding",80,90414
"Host Interactions with Influenza Factors",48,90446
"Regulation of beta-cell development",37,90457
"CTLA4 inhibitory signaling",26,90468
"Homologous DNA Pairing and Strand Exchange",44,90450
"N-glycan trimming in the ER and Calnexin/Calreticulin cycle",57,90437
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",42,90452
"Nef mediated downregulation of MHC class I complex cell surface expression",11,90483
"TNF signaling",50,90444
"Thyroxine biosynthesis",27,90467
"VEGF ligand-receptor interactions",8,90486
"GABA A (rho) receptor activation",5,90489
"Elastic fibre formation",46,90448
"Interleukin-1 processing",7,90487
"RNA Polymerase II Transcription Initiation And Promoter Clearance",53,90441
"Regulation of gap junction activity",5,90489
"Defective SRD5A3 causes SRD5A3-CDG (CDG-1q) and KHRZ",2,90492
"Amplification of signal from the kinetochores",94,90400
"phospho-PLA2 pathway",9,90485
"Visual phototransduction",168,90326
"Removal of the Flap Intermediate from the C-strand",15,90479
"Physiological factors",12,90482
"Signaling by Wnt",321,90173
"The phototransduction cascade",58,90436
"ZBP1(DAI) mediated induction of type I IFNs",34,90460
"TRIF-mediated programmed cell death",12,90482
"Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding",36,90458
"Plasma lipoprotein assembly",30,90464
"Protein ubiquitination",80,90414
"Defective PMM2 causes PMM2-CDG (CDG-1a)",1,90493
"Metabolism of cofactors",35,90459
"Zinc influx into cells by the SLC39 gene family",11,90483
"Antigen processing: Ubiquitination & Proteasome degradation",315,90179
"Activation of the AP-1 family of transcription factors",12,90482
"Mitochondrial translation initiation",96,90398
"Sodium-coupled phosphate cotransporters",8,90486
"Cytosolic tRNA aminoacylation",90,90404
"Hereditary fructose intolerance",1,90493
"Dectin-2 family",65,90429
"RUNX3 regulates WNT signaling",9,90485
"G-protein beta:gamma signalling",57,90437
"GPCR downstream signaling",1138,89356
"Defective Mismatch Repair Associated With PMS2",2,90492
"Mitochondrial Fatty Acid Beta-Oxidation",105,90389
"DEx/H-box helicases activate type I IFN and inflammatory cytokines production ",16,90478
"Astrocytic Glutamate-Glutamine Uptake And Metabolism",10,90484
"Toll Like Receptor TLR1:TLR2 Cascade",114,90380
"DAG and IP3 signaling",45,90449
"Role of Abl in Robo-Slit signaling",12,90482
"p75 NTR receptor-mediated signalling",107,90387
"Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC",5,90489
"Abacavir metabolism",28,90466
"Packaging of Eight RNA Segments",9,90485
"Defective GNE causes sialuria, Nonaka myopathy and inclusion body myopathy 2",4,90490
"Metabolism of serotonin",13,90481
"MAPK3 (ERK1) activation",13,90481
"TBC/RABGAPs",49,90445
"Role of second messengers in netrin-1 signaling",16,90478
"Neurodegenerative Diseases",27,90467
"Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)",2,90492
"VLDLR internalisation and degradation",12,90482
"RHO GTPases activate CIT",23,90471
"RNA Polymerase III Transcription Initiation From Type 2 Promoter",27,90467
"Asymmetric localization of PCP proteins",66,90428
"Retinoid cycle disease events",24,90470
"Trafficking of myristoylated proteins to the cilium",7,90487
"Branched-chain amino acid catabolism",69,90425
"Energy dependent regulation of mTOR by LKB1-AMPK",36,90458
"Molybdenum cofactor biosynthesis",27,90467
"Beta oxidation of butanoyl-CoA to acetyl-CoA",19,90475
"ABC transporter disorders",89,90405
"SHC-mediated cascade:FGFR2",32,90462
"Interleukin-4 and 13 signaling",113,90381
"Signaling by ERBB2",67,90427
"TNFR1-mediated ceramide production",6,90488
"TNFR2 non-canonical NF-kB pathway",104,90390
"Resolution of Sister Chromatid Cohesion",135,90359
"Toxicity of botulinum toxin type G (BoNT/G)",7,90487
"Lysine catabolism",44,90450
"COPII (Coat Protein 2) Mediated Vesicle Transport",76,90418
"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",105,90389
"AURKA Activation by TPX2",74,90420
"Beta oxidation of octanoyl-CoA to hexanoyl-CoA",18,90476
"Synthesis of PIPs at the late endosome membrane",22,90472
"PIPs transport between early endosome and Golgi membranes",1,90493
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",3,90491
"Reuptake of GABA",10,90484
"Recycling of bile acids and salts",36,90458
"Synthesis of IPs in the ER lumen",9,90485
"Release of apoptotic factors from the mitochondria",2,90492
"Diseases associated with glycosaminoglycan metabolism",36,90458
"Gap junction trafficking",50,90444
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",61,90433
"trans-Golgi Network Vesicle Budding",80,90414
"Binding and Uptake of Ligands by Scavenger Receptors",168,90326
"Adrenaline signalling through Alpha-2 adrenergic receptor",5,90489
"Golgi Associated Vesicle Biogenesis",61,90433
"rRNA processing in the nucleus and cytosol",211,90283
"Dopamine Neurotransmitter Release Cycle",28,90466
"MET receptor recycling",11,90483
"TRKA activation by NGF",5,90489
"Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)",5,90489
"Kinesins",67,90427
"RPIA deficiency: failed conversion of RU5P to R5P",1,90493
"Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS)",3,90491
"Phospholipase C-mediated cascade; FGFR4",19,90475
"RUNX1 regulates transcription of genes involved in differentiation of keratinocytes",8,90486
"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG",9,90485
"rRNA modification in the mitochondrion",11,90483
"HIV Infection",258,90236
"SLC-mediated transmembrane transport",410,90084
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",65,90429
"Severe congenital neutropenia type 4 (G6PC3)",2,90492
"APC/C:Cdc20 mediated degradation of Securin",67,90427
"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)",4,90490
"Defective DPM1 causes DPM1-CDG (CDG-1e)",2,90492
"Regulation of TNFR1 signaling",39,90455
"IRAK1 recruits IKK complex",16,90478
"Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)",3,90491
"Breakdown of the nuclear lamina",3,90491
"HDR through MMEJ (alt-NHEJ)",15,90479
"Metabolism of vitamins and cofactors",354,90140
"Synthesis of diphthamide-EEF2",15,90479
"Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes",6,90488
"Toll Like Receptor 9 (TLR9) Cascade",111,90383
"RPIA deficiency: failed conversion of R5P to RU5P",1,90493
"Digestion of dietary lipid",24,90470
"Pyruvate metabolism and Citric Acid (TCA) cycle",89,90405
"RNF mutants show enhanced WNT signaling and proliferation",8,90486
"G1/S DNA Damage Checkpoints",70,90424
"Signaling by FGFR in disease",91,90403
"HCN channels",6,90488
"Toxicity of botulinum toxin type E (BoNT/E)",8,90486
"Chromatin modifying enzymes",257,90237
"ADP signalling through P2Y purinoceptor 12",25,90469
"Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2",2,90492
"DSCAM interactions",15,90479
"EGFR Transactivation by Gastrin",12,90482
"Cation-coupled Chloride cotransporters",10,90484
"mRNA 3'-end processing",58,90436
"AKT-mediated inactivation of FOXO1A",6,90488
"Activation of SMO",20,90474
"Fatty acids",29,90465
"Neurotransmitter clearance",34,90460
"Adenylate cyclase inhibitory pathway",18,90476
"HSF1-dependent transactivation",27,90467
"RUNX3 Regulates Immune Response and Cell Migration",6,90488
"Oncogene Induced Senescence",35,90459
"Androgen biosynthesis",27,90467
"IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation",16,90478
"Activation of PPARGC1A (PGC-1alpha) by phosphorylation",13,90481
"Toxicity of botulinum toxin type A (BoNT/A)",12,90482
"Signalling to ERK5",4,90490
"GTP hydrolysis and joining of the 60S ribosomal subunit",117,90377
"Glucagon-type ligand receptors",34,90460
"Potassium Channels",103,90391
"Syndecan interactions",29,90465
"Defective NEU1 causes sialidosis",5,90489
"Interleukin-15 signaling",6,90488
"Regulation of TP53 Activity through Phosphorylation",94,90400
"Synthesis of PIPs at the plasma membrane",69,90425
"Orexin and neuropeptides FF and QRFP bind to their respective receptors",8,90486
"Reversible hydration of carbon dioxide",17,90477
"Processive synthesis on the C-strand of the telomere",20,90474
"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)",4,90490
"Tolerance by Mtb to nitric oxide produced by macrophages",37,90457
"Olfactory Signaling Pathway",432,90062
"Serotonin clearance from the synaptic cleft",16,90478
"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2",11,90483
"Vasopressin-like receptors",6,90488
"APC truncation mutants have impaired AXIN binding",14,90480
"Cellular Senescence",309,90185
"Defective CHST6 causes MCDC1",8,90486
"Methylation of MeSeH for excretion",6,90488
"Mitochondrial tRNA aminoacylation",87,90407
"Attenuation phase",15,90479
"Synthesis of 15-eicosatetraenoic acid derivatives",22,90472
"Mitotic Metaphase and Anaphase",210,90284
"Netrin-1 signaling",59,90435
"Type I hemidesmosome assembly",11,90483
"WNT ligand secretion is abrogated by the PORCN inhibitor LGK974",2,90492
"Adherens junctions interactions",35,90459
"Highly sodium permeable acetylcholine nicotinic receptors",9,90485
"Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding",45,90449
"IRF3 mediated activation of type 1 IFN",8,90486
"Transport of the SLBP Dependant Mature mRNA",38,90456
"Regulation of FZD by ubiquitination",22,90472
"HDL assembly",18,90476
"Biosynthesis of A2E, implicated in retinal degradation",8,90486
"Glucocorticoid biosynthesis",23,90471
"Insulin receptor recycling",28,90466
"Formation of a pool of free 40S subunits",102,90392
"Cellular responses to external stimuli",539,89955
"Myogenesis",32,90462
"Defective AMN causes hereditary megaloblastic anemia 1",4,90490
"Keratan sulfate biosynthesis",37,90457
"TP53 Regulates Transcription of Caspase Activators and Caspases",14,90480
"Lectin pathway of complement activation",15,90479
"Proline catabolism",14,90480
"Phosphorylation of CD3 and TCR zeta chains",35,90459
"Ficolins bind to repetitive carbohydrate structures on the target cell surface",12,90482
"Glyoxylate metabolism and glycine degradation",89,90405
"Defective DOLK causes DOLK-CDG (CDG-1m)",2,90492
"Regulation of gene expression by Hypoxia-inducible Factor",12,90482
"Regulation of activated PAK-2p34 by proteasome mediated degradation",50,90444
"IKBKB deficiency causes SCID",2,90492
"Organelle biogenesis and maintenance",317,90177
"CD28 dependent Vav1 pathway",19,90475
"Interleukin-7 signaling",299,90195
"DAP12 interactions",488,90006
"TWIK-related spinal cord K+ channel (TRESK)",2,90492
"Transmission across Electrical Synapses ",6,90488
"Defective Mismatch Repair Associated With MSH6",1,90493
"Rho GTPase cycle",144,90350
"Fertilization",31,90463
"p53-Independent DNA Damage Response",55,90439
"SCF-beta-TrCP mediated degradation of Emi1",55,90439
"Signaling by Ligand-Responsive EGFR Variants in Cancer",38,90456
"Signaling by FGFR2 IIIa TM",24,90470
"TGF-beta receptor signaling activates SMADs",36,90458
"Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)",3,90491
"Translation initiation complex formation",61,90433
"Defective ALG1 causes ALG1-CDG (CDG-1k)",2,90492
"Translesion Synthesis by POLH",24,90470
"Defective ABCD1 causes adrenoleukodystrophy (ALD)",3,90491
"Nuclear Receptor transcription pathway",84,90410
"Protein repair",19,90475
"Pre-NOTCH Processing in the Endoplasmic Reticulum",10,90484
"Defective CD320 causes methylmalonic aciduria",3,90491
"EPH-ephrin mediated repulsion of cells",54,90440
"MAPK1/MAPK3 signaling",274,90220
"TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain",21,90473
"Mismatch Repair",24,90470
"Transcriptional activation of mitochondrial biogenesis",70,90424
"Signaling by BMP",30,90464
"GABA synthesis, release, reuptake and degradation",35,90459
"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells",5,90489
"Asparagine N-linked glycosylation",419,90075
"Ligand-dependent caspase activation",22,90472
"Synthesis of DNA",113,90381
"FRS-mediated FGFR2 signaling",33,90461
"PI3K/AKT Signaling in Cancer",119,90375
"PKA activation",22,90472
"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)",9,90485
"Ribosomal scanning and start codon recognition",64,90430
"Muscle contraction",214,90280
"Downregulation of ERBB4 signaling",10,90484
"Cell-extracellular matrix interactions",19,90475
"Defective CFTR causes cystic fibrosis",67,90427
"MicroRNA (miRNA) biogenesis",29,90465
"GLI3 is processed to GLI3R by the proteasome",62,90432
"Ionotropic activity of kainate receptors",14,90480
"Hydrolysis of LPE",9,90485
"C6 deamination of adenosine",4,90490
"Peptide hormone metabolism",124,90370
"Translation",372,90122
"TICAM1 deficiency - HSE",3,90491
"Eukaryotic Translation Elongation",119,90375
"Platelet degranulation ",137,90357
"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants",38,90456
"Termination of translesion DNA synthesis",35,90459
"Aryl hydrocarbon receptor signalling",8,90486
"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis",55,90439
"Biological oxidations",548,89946
"MAPK6/MAPK4 signaling",94,90400
"APC/C:Cdc20 mediated degradation of mitotic proteins",75,90419
"Toll Like Receptor TLR6:TLR2 Cascade",111,90383
"Formation of RNA Pol II elongation complex ",61,90433
"Switching of origins to a post-replicative state",73,90421
"Signaling by FGFR2 fusions",3,90491
"Hormone ligand-binding receptors",13,90481
"MPS IIIC - Sanfilippo syndrome C",3,90491
"Downstream signaling of activated FGFR1",41,90453
"Release",10,90484
"NFG and proNGF binds to p75NTR",3,90491
"AXIN missense mutants destabilize the destruction complex",14,90480
"EPH-Ephrin signaling",104,90390
"Intra-Golgi traffic",48,90446
"Removal of licensing factors from origins",75,90419
"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members",8,90486
"Cell Cycle Checkpoints",277,90217
"Intestinal saccharidase deficiencies",6,90488
"SeMet incorporation into proteins",17,90477
"Formation of the cornified envelope",138,90356
"GP1b-IX-V activation signalling",12,90482
"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components",8,90486
"Transport to the Golgi and subsequent modification",218,90276
"Nuclear Envelope Breakdown",63,90431
"Nephrin family interactions",25,90469
"Cross-presentation of particulate exogenous antigens (phagosomes)",13,90481
"Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1)",2,90492
"DNA replication initiation",16,90478
"Smooth Muscle Contraction",38,90456
"Translesion synthesis by REV1",19,90475
"Transport of glycerol from adipocytes to the liver by Aquaporins",3,90491
"Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)",9,90485
"Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors",38,90456
"Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)",2,90492
"TRAF6 mediated NF-kB activation",32,90462
"VxPx cargo-targeting to cilium",25,90469
"Platelet calcium homeostasis",35,90459
"Regulation of TP53 Activity through Association with Co-factors",16,90478
"Signal attenuation",11,90483
"Organic cation transport",39,90455
"Transcriptional activation of p53 responsive genes  ",4,90490
"CaM pathway",35,90459
"Transcriptional  activation of  cell cycle inhibitor p21 ",4,90490
"Defective GALK1 can cause Galactosemia II (GALCT2)",2,90492
"Ub-specific processing proteases",206,90288
"Defective SLC5A2 causes renal glucosuria (GLYS1)",2,90492
"Fc epsilon receptor (FCERI) signaling",573,89921
"NIK-->noncanonical NF-kB signaling",61,90433
"Signaling by EGFR",481,90013
"Degradation of the extracellular matrix",148,90346
"Nucleotide-like (purinergic) receptors",23,90471
"rRNA processing",222,90272
"SOS-mediated signalling",267,90227
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A",55,90439
"DNA Damage Bypass",57,90437
"Beta defensins",39,90455
"COX reactions",9,90485
"Nef and signal transduction",9,90485
"RNA Polymerase II Transcription Termination",67,90427
"G1/S Transition",132,90362
"Proton/oligopeptide cotransporters",9,90485
"Activation and oligomerization of BAK protein",2,90492
"Lysosphingolipid and LPA receptors",19,90475
"Norepinephrine Neurotransmitter Release Cycle",30,90464
"Acetylcholine binding and downstream events",17,90477
"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex",15,90479
"Processing of DNA double-strand break ends",90,90404
"TP53 Regulates Transcription of Cell Death Genes",54,90440
"Initiation of Nuclear Envelope Reformation",16,90478
"Tandem pore domain halothane-inhibited K+ channel (THIK)",2,90492
"Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M)",3,90491
"Negative regulation of FGFR4 signaling",35,90459
"RNA Pol II CTD phosphorylation and interaction with CE during HIV infection",27,90467
"Ligand-gated ion channel transport",33,90461
"Vasopressin regulates renal water homeostasis via Aquaporins",50,90444
"Defective TCN2 causes hereditary megaloblastic anemia",2,90492
"Gastrin-CREB signalling pathway via PKC and MAPK",504,89990
"Xenobiotics",74,90420
"RHO GTPases Activate Formins",147,90347
"DDX58/IFIH1-mediated induction of interferon-alpha/beta",89,90405
"Circadian Clock",75,90419
"Threonine catabolism",13,90481
"TGFBR1 LBD Mutants in Cancer",4,90490
"Regulation of IFNG signaling",16,90478
"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB",13,90481
"Post-translational protein modification",1528,88966
"FGFR2c ligand binding and activation",17,90477
"Cleavage of the damaged pyrimidine ",17,90477
"SHC-mediated cascade:FGFR3",25,90469
"Platelet activation, signaling and aggregation",305,90189
"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)",4,90490
"L13a-mediated translational silencing of Ceruloplasmin expression",113,90381
"TP53 Regulates Transcription of Genes Involved in Cytochrome C Release",23,90471
"Defective ABCB4 causes progressive familial intrahepatic cholestasis 3, intrahepatic cholestasis of pregnancy 3 and gallbladder disease 1",3,90491
"UCH proteinases",98,90396
"Synthesis of very long-chain fatty acyl-CoAs",51,90443
"G alpha (q) signalling events",240,90254
"Mitochondrial ABC transporters",10,90484
"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)",9,90485
"Peptide hormone biosynthesis",13,90481
"Loss of Nlp from mitotic centrosomes",71,90423
"MET activates PI3K/AKT signaling",10,90484
"Virus Assembly and Release",12,90482
"RNA Polymerase III Chain Elongation",22,90472
"Signaling by Interleukins",731,89763
"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2",10,90484
"SLBP independent Processing of Histone Pre-mRNAs",10,90484
"Processing and activation of SUMO",13,90481
"Interleukin receptor SHC signaling",277,90217
"HDL clearance",9,90485
"Integration of provirus",15,90479
"Cilium Assembly",207,90287
"Recycling pathway of L1",54,90440
"Resolution of D-Loop Structures",37,90457
"Vitamin E",2,90492
"RHO GTPases activate PKNs",78,90416
"Arachidonic acid metabolism",236,90258
"MPS I - Hurler syndrome",4,90490
"MyD88 dependent cascade initiated on endosome",107,90387
"RNA Polymerase I Transcription",88,90406
"betaKlotho-mediated ligand binding",6,90488
"RHO GTPases activate KTN1",12,90482
"TRP channels",30,90464
"Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B",3,90491
"VEGF binds to VEGFR leading to receptor dimerization",8,90486
"Nucleosome assembly",55,90439
"Defective CHST3 causes SEDCJD",8,90486
"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation",20,90474
"Transmission across Chemical Synapses",278,90216
"Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)",7,90487
"NRIF signals cell death from the nucleus",17,90477
"Clathrin-mediated endocytosis",154,90340
"Misspliced GSK3beta mutants stabilize beta-catenin",15,90479
"Activation of C3 and C5",6,90488
"Formation of editosomes by ADAR proteins",2,90492
"Fusion of the Influenza Virion to the Host Cell Endosome",9,90485
"Synthesis of substrates in N-glycan biosythesis",131,90363
"Defective ABCC9 causes dilated cardiomyopathy 10, familial atrial fibrillation 12 and hypertrichotic osteochondrodysplasia",3,90491
"Meiosis",94,90400
"Inositol transporters",7,90487
"IRE1alpha activates chaperones",61,90433
"Electric Transmission Across Gap Junctions",6,90488
"Receptor-type tyrosine-protein phosphatases",20,90474
"PI-3K cascade:FGFR3",24,90470
"Disorders of transmembrane transporters",171,90323
"Cyclin E associated events during G1/S transition ",86,90408
"Nicotinamide salvaging",59,90435
"Heparan sulfate/heparin (HS-GAG) metabolism",88,90406
"Serotonin receptors",13,90481
"Constitutive Signaling by NOTCH1 PEST Domain Mutants",61,90433
"Presynaptic function of Kainate receptors",23,90471
"NCAM1 interactions",44,90450
"Factors involved in megakaryocyte development and platelet production",179,90315
"Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)",2,90492
"MET interacts with TNS proteins",5,90489
"E3 ubiquitin ligases ubiquitinate target proteins",57,90437
"Cellular responses to stress",454,90040
"Acrosome Reaction",1,90493
"Defective ACY1 causes encephalopathy",3,90491
"RAS signaling downstream of NF1 loss-of-function variants",5,90489
"Signaling by NOTCH1",76,90418
"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",13,90481
"Triglyceride catabolism",43,90451
"Cargo recognition for clathrin-mediated endocytosis",108,90386
"Vitamin B1 (thiamin) metabolism",14,90480
"Nitric oxide stimulates guanylate cyclase",36,90458
"G2 Phase",7,90487
"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha",7,90487
"Leukotriene receptors",9,90485
"Plasma lipoprotein clearance",42,90452
"SHC1 events in EGFR signaling",267,90227
"NR1D1 (REV-ERBA) represses gene expression",4,90490
"NOSTRIN mediated eNOS trafficking",10,90484
"Signaling by FGFR2 in disease",62,90432
"Glycogen storage disease type Ia (G6PC)",2,90492
"IRS activation",7,90487
"Negative regulation of activity of TFAP2 (AP-2) family transcription factors",11,90483
"FGFR1 mutant receptor activation",48,90446
"Metabolism of lipids",1252,89242
"InlB-mediated entry of Listeria monocytogenes into host cell",18,90476
"Influenza Virus Induced Apoptosis",4,90490
"Arachidonate production from DAG",13,90481
"Clearance of Nuclear Envelope Membranes from Chromatin",12,90482
"ROS, RNS production in phagocytes",52,90442
"COPI-independent Golgi-to-ER retrograde traffic",62,90432
"IkBA variant leads to EDA-ID",8,90486
"Phase 3 - rapid repolarisation",9,90485
"Defective SLC9A9 causes autism 16 (AUTS16)",2,90492
"RNA Polymerase I Promoter Opening",35,90459
"Negative regulation of the PI3K/AKT network",120,90374
"Synthesis of CL",5,90489
"Mitochondrial Uncoupling Proteins",13,90481
"vRNA Synthesis",8,90486
"Transcriptional regulation of pluripotent stem cells",36,90458
"Transport of Ribonucleoproteins into the Host Nucleus",38,90456
"Cell junction organization",94,90400
"Signaling by ERBB4",54,90440
"IRAK4 deficiency (TLR2/4)",18,90476
"Activation of RAS in B cells",10,90484
"Platelet Aggregation (Plug Formation)",52,90442
"Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)",2,90492
"IPs transport between cytosol and ER lumen",3,90491
"Interconversion of polyamines",16,90478
"Gap junction assembly",39,90455
"Pentose phosphate pathway disease",6,90488
"Antigen processing-Cross presentation",175,90319
"MET Receptor Activation",9,90485
"Regulation of gene expression in early pancreatic precursor cells",8,90486
"Sulfur amino acid metabolism",81,90413
"RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)",10,90484
"Early Phase of HIV Life Cycle",24,90470
"C-type lectin receptors (CLRs)",196,90298
"Metabolism of porphyrins",54,90440
"Triglyceride metabolism",67,90427
"Downstream signal transduction",468,90026
"Potassium transport channels",4,90490
"RUNX3 regulates p14-ARF",14,90480
"Cristae formation",31,90463
"WNT5A-dependent internalization of FZD4",20,90474
"KSRP (KHSRP) binds and destabilizes mRNA",20,90474
"Tryptophan catabolism",48,90446
"Vif-mediated degradation of APOBEC3G",56,90438
"Pregnenolone biosynthesis",25,90469
"Abacavir transmembrane transport",10,90484
"Synthesis of pyrophosphates in the cytosol",29,90465
"Signaling by activated point mutants of FGFR3",17,90477
"Binding and entry of HIV virion",12,90482
"Activation of Matrix Metalloproteinases",35,90459
"Orc1 removal from chromatin",73,90421
"Formation of the active cofactor, UDP-glucuronate",13,90481
"Extracellular matrix organization",330,90164
"Regulation of Apoptosis",54,90440
"TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest",14,90480
"Neurotransmitter receptors and postsynaptic signal transmission",160,90334
"Ligand-receptor interactions",8,90486
"Recognition of DNA damage by PCNA-containing replication complex",30,90464
"Defective SLC2A10 causes arterial tortuosity syndrome (ATS)",1,90493
"Formation of Incision Complex in GG-NER",47,90447
"FasL/ CD95L signaling",5,90489
"Passive transport by Aquaporins",21,90473
"Transport of inorganic cations/anions and amino acids/oligopeptides",165,90329
"CD28 dependent PI3K/Akt signaling",26,90468
"Formation of TC-NER Pre-Incision Complex",56,90438
"Inactivation of APC/C via direct inhibition of the APC/C complex",20,90474
"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids",21,90473
"ADP signalling through P2Y purinoceptor 1",29,90465
"Release of Hh-Np from the secreting cell",8,90486
"Gap-filling DNA repair synthesis and ligation in GG-NER",27,90467
"S37 mutants of beta-catenin aren't phosphorylated",16,90478
"IKK complex recruitment mediated by RIP1",26,90468
"MAPK targets/ Nuclear events mediated by MAP kinases",35,90459
"Acyl chain remodelling of PS",31,90463
"Activation of CaMK IV",5,90489
"GABA A receptor activation",15,90479
"Toxicity of botulinum toxin type B (BoNT/B)",11,90483
"Metabolism of ingested MeSeO2H into MeSeH",9,90485
"NrCAM interactions",7,90487
"APC-Cdc20 mediated degradation of Nek2A",25,90469
"Surfactant metabolism",46,90448
"Regulation of Glucokinase by Glucokinase Regulatory Protein",38,90456
"Caspase-mediated cleavage of cytoskeletal proteins",12,90482
"tRNA processing in the mitochondrion",11,90483
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",76,90418
"ERK/MAPK targets",26,90468
"Toll Like Receptor 10 (TLR10) Cascade",95,90399
"Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7)",3,90491
"HuR (ELAVL1) binds and stabilizes mRNA",10,90484
"DNA methylation",38,90456
"Metal sequestration by antimicrobial proteins",13,90481
"Autodegradation of the E3 ubiquitin ligase COP1",54,90440
"RHO GTPase Effectors",311,90183
"Transport of Mature mRNA Derived from an Intronless Transcript",44,90450
"Interleukin-35 Signalling",7,90487
